Cost Center,Description CC,Province & Ville,Coordinations provinciales,Local / Etranger ?,Catégorie / Grade,Nature Depenses,Account Ohada,Departement ,Texte / Libelle,,Unite de Mesure des donnees mensuelles,Cout Unitaire en USD Hors Taxe,31-janv.,28-févr.,31-mars,30-avr.,31-mai,30-juin,31-juil.,31-août,30-sept.,31-oct.,30-nov.,31-déc.,Total en Unite de Mesure des donnees mensuelles,Total Budget en USD,2027,2028,2029,2030,Check Categorie,Check Unite de mesure,Check cout unitaire,,CODE DEPARTEMENT,CODE ACTIVITE,CODE SOUS ACTIVITE,CODE TACHE
,,,,Ligne de depense,Direction,,,,Centre des couts ,Categories,Unite de Mesure des donnees mensuelles,Cout Unitaire en USD Hors Taxe,31/1/2025,28-Feb-26,31-Mar-26,30-Apr-26,31-May-26,30-Jun-26,31-Jul-26,31-Aug-26,30-Sep-26,31-Oct-26,30-Nov-26,31-Dec-26,Total en Unite de Mesure des donnees mensuelles,Total Budget en USD,2027,2028,2029,2030,,,,,,,,
ET.1.2.04,ETUDES _ Cartographie des violations _ Mapping des  fosses communes _ 3.Certification par la communauté à travers les focus group,,,,,,,,,,,,0,0,0,0,0,0,1 020,2 040,1 020,1 020,0,0,5 100,5 100,5 151,5 202,5 253,5 304,,,,,ET,1,2,04
ET.1.2.05,ETUDES _ Cartographie des violations _ Mapping des  fosses communes _ 4. Mission de supervision par les agents du FONAREV,,,,,,,,,,,,0,0,0,0,0,0,12 730,25 460,12 730,12 730,0,0,63 650,63 650,64 287,64 923,65 560,66 196,,,,,ET,1,2,05
ET.1.2.06,ETUDES _ Cartographie des violations _ Mapping des  fosses communes _ 5. Production de la carte thématique par un Expert,,,,,,,,,,,,0,0,0,0,0,0,39 000,0,0,0,0,0,39 000,39 000,39 390,39 780,40 170,40 560,,,,,ET,1,2,06
ET.1.3.01,ETUDES _ Cartographie des violations _ Monitoring des violations et massacres recents _ 1. Recrutement et formation des  29 ONG de monitoring au chef-lieu de chaque province,,,,,,,,,,,,7 580,0,730,0,0,0,0,0,0,0,0,0,8 310,8 310,8 393,8 476,8 559,8 642,,,,,ET,1,3,01
ET.1.3.02,ETUDES _ Cartographie des violations _ Monitoring des violations et massacres recents _ 2. Monitoring par les ONG (Honoraire/mois),,,,,,,,,,,,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,120 000,120 000,121 200,122 400,123 600,124 800,,,,,ET,1,3,02
ET.1.3.03,ETUDES _ Cartographie des violations _ Monitoring des violations et massacres recents _ 1. Levée documentaire,,,,,,,,,,,,200 000,0,0,0,0,0,0,0,0,0,0,0,200 000,200 000,202 000,204 000,206 000,208 000,,,,,ET,1,3,03
ET.1.3.04,ETUDES _ Cartographie des violations _ Monitoring des violations et massacres recents _ 2. Analyse de l'intention génocidaire dans les faits,,,,,,,,,,,,0,0,0,266 275,0,0,0,0,0,0,0,0,266 275,266 275,268 938,271 601,274 263,276 926,,,,,ET,1,3,04
ET.1.3.05,ETUDES _ Cartographie des violations _ Monitoring des violations et massacres recents _ 3. Enquête complémentaire au Nord-Kivu avec les enquêteurs locaux (méthode GRID pour les zones occupées),,,,,,,,,,,,0,0,0,0,100 740,0,0,0,0,0,0,0,100 740,100 740,101 747,102 755,103 762,104 770,,,,,ET,1,3,05
ET.1.3.06,ETUDES _ Cartographie des violations _ Monitoring des violations et massacres recents _ 4. Finalisation et reporting,,,,,,,,,,,,0,0,0,0,0,140 740,0,0,0,0,0,0,140 740,140 740,142 147,143 555,144 962,146 370,,,,,ET,1,3,06
ET.1.4.01,ETUDES _ Cartographie des violations _ Levée des preuves et documentation auprès des communautés en RDC et  auprès des anciens belligérants _ 1.recrutement des détectives et remuneration,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,ET,1,4,01
