Annee,,,,,,,,#VALUE!,#VALUE!,1899,#VALUE!,#VALUE!,2026,2026,2026,2026,2026,2026,2026,,,2027,2028,2029,2030,,,,,,,,,,,,,
Mois,,,,,,,,#VALUE!,#VALUE!,12,#VALUE!,#VALUE!,1,2,3,4,5,6,7,,,,,,,,,,,,,,,,,,,
Trimestre,,,,,,,,0,0,0,0,0,1,1,1,2,2,2,3,,,,,,,,,,,,,,,,,,,
Semestre,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,REPARATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Budget d'Exploitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost Center,Description CC,Province & Ville,Coordinations provinciales,Local / Etranger ?,Catégorie / Grade,Nature Depenses,Account Ohada,Departement ,Texte / Libelle,,Unite de Mesure des donnees mensuelles,Cout Unitaire en USD Hors Taxe,31-janv.,28-févr.,31-mars,30-avr.,31-mai,30-juin,31-juil.,31-août,30-sept.,31-oct.,30-nov.,31-déc.,Total en Unite de Mesure des donnees mensuelles,Total Budget en USD,2027,2028,2029,2030,Check Categorie,Check Unite de mesure,Check cout unitaire,,CODE DEPARTEMENT,CODE ACTIVITE,CODE SOUS ACTIVITE,CODE TACHE
,,,,Ligne de depense,Direction,,,,Centre des couts ,Categories,Unite de Mesure des donnees mensuelles,Cout Unitaire en USD Hors Taxe,31/1/2025,28-Feb-26,31-Mar-26,30-Apr-26,31-May-26,30-Jun-26,31-Jul-26,31-Aug-26,30-Sep-26,31-Oct-26,30-Nov-26,31-Dec-26,Total en Unite de Mesure des donnees mensuelles,Total Budget en USD,2027,2028,2029,2030,,,,,,,,
RE.0.0.01,REPARATION _ Renumeration _ Renumeration _ Renumeration,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,RE,0,0,01
RE.1.1.01,REPARATION _ Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC _ Mise en œuvre du programme de réparation administrative et intégrale _ Activités préliminaires / Mission exploratoire,,,,,,,,,,,,186 750,0,0,0,0,0,0,0,0,0,0,0,186 750,186 750,188 618,190 485,192 353,194 220,,,,,RE,1,1,01
RE.1.1.02,REPARATION _ Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC _ Mise en œuvre du programme de réparation administrative et intégrale _ Activités préliminaires / Session de travail avec les partenaires,,,,,,,,,,,,0,48 000,0,0,0,0,0,0,0,0,0,0,48 000,48 000,48 480,48 960,49 440,49 920,,,,,RE,1,1,02
RE.1.1.03,REPARATION _ Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC _ Mise en œuvre du programme de réparation administrative et intégrale _ Activités préliminaires / Signature des contrats de financement,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,RE,1,1,03
RE.1.1.04,REPARATION _ Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC _ Mise en œuvre du programme de réparation administrative et intégrale _ Activités préliminaires / Cérémonie de lancement de projet,,,,,,,,,,,,0,30 850,0,0,0,0,0,0,0,0,0,0,30 850,30 850,31 159,31 467,31 776,32 084,,,,,RE,1,1,04
RE.1.1.05,REPARATION _ Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC _ Mise en œuvre du programme de réparation administrative et intégrale _ Prise en charge médicale,,,,,,,,,,,,0,1 065 400,0,0,1 065 400,0,1 065 400,0,1 065 400,0,0,0,4 261 600,4 261 600,4 304 216,4 346 832,4 389 448,4 432 064,,,,,RE,1,1,05
RE.1.1.06,REPARATION _ Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC _ Mise en œuvre du programme de réparation administrative et intégrale _ Prise en charge psychologique,,,,,,,,,,,,0,100 000,0,0,0,100 000,0,0,100 000,0,100 000,0,400 000,400 000,404 000,408 000,412 000,416 000,,,,,RE,1,1,06
RE.1.1.07,REPARATION _ Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC _ Mise en œuvre du programme de réparation administrative et intégrale _ Prise en charge économique,,,,,,,,,,,,0,1 047 600,0,0,1 047 600,0,0,1 047 600,0,0,1 047 600,0,4 190 400,4 190 400,4 232 304,4 274 208,4 316 112,4 358 016,,,,,RE,1,1,07
RE.1.1.08,REPARATION _ Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC _ Mise en œuvre du programme de réparation administrative et intégrale _ Prise en charge des enfants,,,,,,,,,,,,0,700 000,0,0,0,0,0,0,0,0,0,0,700 000,700 000,707 000,714 000,721 000,728 000,,,,,RE,1,1,08
RE.1.2.01,REPARATION _ Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC _ Programme intérimaire  des victimes _ Consultations des victimes,,,,,,,,,,,,0,0,0,2 000,0,0,19 670,12 450,9 750,0,2 000,0,45 870,45 870,46 329,46 787,47 246,47 705,,,,,RE,1,2,01
RE.1.2.02,REPARATION _ Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC _ Programme intérimaire  des victimes _ Définition des critères,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,RE,1,2,02
RE.1.2.03,REPARATION _ Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC _ Programme intérimaire  des victimes _ Profilage et enquêtes de vulnérabilité,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,RE,1,2,03
RE.1.2.04,REPARATION _ Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC _ Programme intérimaire  des victimes _ Versements individuels,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,RE,1,2,04
RE.1.2.05,REPARATION _ Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC _ Programme intérimaire  des victimes _ Suivi économique,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,RE,1,2,05
RE.1.2.06,REPARATION _ Réparations individuelles-RSE Lancer les réparations pour victimes inscrites dans la LUC _ Programme intérimaire  des victimes _ Indemnisation,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,RE,1,2,06
RE.2.1.01,REPARATION _ Réparations individuelles-RSE Lancer le programme pilote de retour volontaire des déplacés des familles visés         _ Mise en œuvre du programme de retour volontaire pour 500 familles de déplacés à la Tshopo _ Missions d’évaluations des conditions de retour,,,,,,,,,,,,0,0,0,17 250,0,12 000,0,0,17 250,0,0,0,46 500,46 500,46 965,47 430,47 895,48 360,,,,,RE,2,1,01
RE.2.1.02,REPARATION _ Réparations individuelles-RSE Lancer le programme pilote de retour volontaire des déplacés des familles visés         _ Mise en œuvre du programme de retour volontaire pour 500 familles de déplacés à la Tshopo _ Aménagement des espaces de transit,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,RE,2,1,02
RE.2.1.03,REPARATION _ Réparations individuelles-RSE Lancer le programme pilote de retour volontaire des déplacés des familles visés         _ Mise en œuvre du programme de retour volontaire pour 500 familles de déplacés à la Tshopo _ Constructions solution durable (250 maisons),,,,,,,,,,,,0,0,0,625 000,0,0,0,0,0,0,0,0,625 000,625 000,631 250,637 500,643 750,650 000,,,,,RE,2,1,03
RE.2.1.04,REPARATION _ Réparations individuelles-RSE Lancer le programme pilote de retour volontaire des déplacés des familles visés         _ Mise en œuvre du programme de retour volontaire pour 500 familles de déplacés à la Tshopo _ Sensibilisations sur les conditions de retour,,,,,,,,,,,,0,0,0,4 950,9 940,5 200,9 940,0,44 850,0,0,0,74 880,74 880,75 629,76 378,77 126,77 875,,,,,RE,2,1,04
RE.2.1.05,REPARATION _ Réparations individuelles-RSE Lancer le programme pilote de retour volontaire des déplacés des familles visés         _ Mise en œuvre du programme de retour volontaire pour 500 familles de déplacés à la Tshopo _ Missions d’enregistrement des ménages éligibles au retour,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,RE,2,1,05
RE.2.1.06,REPARATION _ Réparations individuelles-RSE Lancer le programme pilote de retour volontaire des déplacés des familles visés         _ Mise en œuvre du programme de retour volontaire pour 500 familles de déplacés à la Tshopo _ Évaluations médicales et psychologiques finales,,,,,,,,,,,,0,0,0,0,50 000,0,0,0,0,0,0,0,50 000,50 000,50 500,51 000,51 500,52 000,,,,,RE,2,1,06
RE.2.1.07,REPARATION _ Réparations individuelles-RSE Lancer le programme pilote de retour volontaire des déplacés des familles visés         _ Mise en œuvre du programme de retour volontaire pour 500 familles de déplacés à la Tshopo _ Réunions techniques multipartites,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,RE,2,1,07
RE.2.1.08,REPARATION _ Réparations individuelles-RSE Lancer le programme pilote de retour volontaire des déplacés des familles visés         _ Mise en œuvre du programme de retour volontaire pour 500 familles de déplacés à la Tshopo _ Déploiement du retour,,,,,,,,,,,,0,0,0,0,200 000,0,0,0,0,0,0,0,200 000,200 000,202 000,204 000,206 000,208 000,,,,,RE,2,1,08
RE.3.1.01,REPARATION _ Réparation collectives - Infrastructures _ Réaliser les réparations collectives dans les zones d’intervention du Fonds pour les ouvrages à livrer         _ Construction de centres communautaires,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,RE,3,1,01
RE.3.1.02,REPARATION _ Réparation collectives - Infrastructures _ Réaliser les réparations collectives dans les zones d’intervention du Fonds pour les ouvrages à livrer         _ Construction de maison des victimes,,,,,,,,,,,,0,0,0,90 000,0,0,0,150 000,0,0,60 000,0,300 000,300 000,303 000,306 000,309 000,312 000,,,,,RE,3,1,02
RE.3.1.03,REPARATION _ Réparation collectives - Infrastructures _ Réaliser les réparations collectives dans les zones d’intervention du Fonds pour les ouvrages à livrer         _ Construction de centres de santé,,,,,,,,,,,,0,0,0,0,0,150 000,0,0,250 000,0,100 000,0,500 000,500 000,505 000,510 000,515 000,520 000,,,,,RE,3,1,03
RE.3.1.04,REPARATION _ Réparation collectives - Infrastructures _ Réaliser les réparations collectives dans les zones d’intervention du Fonds pour les ouvrages à livrer         _ Construction de établissements scolaires,,,,,,,,,,,,0,0,510 000,672 000,0,0,850 000,1 120 000,0,340 000,448 000,0,3 940 000,3 940 000,3 979 400,4 018 800,4 058 200,4 097 600,,,,,RE,3,1,04
RE.3.1.05,REPARATION _ Réparation collectives - Infrastructures _ Réaliser les réparations collectives dans les zones d’intervention du Fonds pour les ouvrages à livrer         _ Construction de mémoriaux,,,,,,,,,,,,0,700 000,0,372 000,700 000,620 000,0,248 000,0,0,32 000,0,2 672 000,2 672 000,2 698 720,2 725 440,2 752 160,2 778 880,,,,,RE,3,1,05
RE.3.1.06,REPARATION _ Réparation collectives - Infrastructures _ Réaliser les réparations collectives dans les zones d’intervention du Fonds pour les ouvrages à livrer         _ Construction de temples,,,,,,,,,,,,0,0,0,0,0,318 000,0,530 000,0,212 000,0,0,1 060 000,1 060 000,1 070 600,1 081 200,1 091 800,1 102 400,,,,,RE,3,1,06
RE.3.1.07,REPARATION _ Réparation collectives - Infrastructures _ Réaliser les réparations collectives dans les zones d’intervention du Fonds pour les ouvrages à livrer         _ Construire orphelinat,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,RE,3,1,07
RE.3.1.08,REPARATION _ Réparation collectives - Infrastructures _ Réaliser les réparations collectives dans les zones d’intervention du Fonds pour les ouvrages à livrer         _ Construire centrale photovoltaïque,,,,,,,,,,,,0,0,840 000,0,1 400 000,0,560 000,0,0,0,0,0,2 800 000,2 800 000,2 828 000,2 856 000,2 884 000,2 912 000,,,,,RE,3,1,08
RE.3.1.09,REPARATION _ Réparation collectives - Infrastructures _ Réaliser les réparations collectives dans les zones d’intervention du Fonds pour les ouvrages à livrer         _ Construire centre de formation,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,RE,3,1,09
RE.3.1.10,REPARATION _ Réparation collectives - Infrastructures _ Réaliser les réparations collectives dans les zones d’intervention du Fonds pour les ouvrages à livrer         _ Construire hôpitaux généraux,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,RE,3,1,10
RE.3.1.11,REPARATION _ Réparation collectives - Infrastructures _ Réaliser les réparations collectives dans les zones d’intervention du Fonds pour les ouvrages à livrer         _ Finalisation du mémorial national du Genocost à Kinshasa,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,RE,3,1,11
RE.3.2.01,REPARATION _ Réparation collectives - Infrastructures _ Lancer les études en vue de la mise en œuvre des réparations collectives de 2027 _ Missions de faisabilité des infrastructures identifiées après consultation des communautés,,,,,,,,,,,,0,0,43 490,43 490,43 490,43 490,0,0,0,0,0,0,173 960,173 960,175 700,177 439,179 179,180 918,,,,,RE,3,2,01
RE.3.2.02,REPARATION _ Réparation collectives - Infrastructures _ Lancer les études en vue de la mise en œuvre des réparations collectives de 2027 _ Mission interne etude,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,RE,3,2,02
RE.3.2.03,REPARATION _ Réparation collectives - Infrastructures _ Lancer les études en vue de la mise en œuvre des réparations collectives de 2027 _ Realisation / Suivi des etudes pour la construction,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,RE,3,2,03
RE.3.2.04,REPARATION _ Réparation collectives - Infrastructures _ Lancer les études en vue de la mise en œuvre des réparations collectives de 2027 _ Hôpital général,,,,,,,,,,,,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,35 000,420 000,420 000,424 200,428 400,432 600,436 800,,,,,RE,3,2,04
RE.3.2.05,REPARATION _ Réparation collectives - Infrastructures _ Lancer les études en vue de la mise en œuvre des réparations collectives de 2027 _ Musée national du Genocost,,,,,,,,,,,,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,1 500 000,1 500 000,1 515 000,1 530 000,1 545 000,1 560 000,,,,,RE,3,2,05
RE.4.1.01,"REPARATION _ Réparations collectives - EduPax
Promouvoir l’éducation à la paix et la culture de la mémoire	 _ Animation du mémorial du Genocost _ Session de travail avec partenaires",,,,,,,,,,,,0,0,9 000,0,9 000,0,0,0,0,0,0,0,18 000,18 000,18 180,18 360,18 540,18 720,,,,,RE,4,1,01
RE.4.1.02,"REPARATION _ Réparations collectives - EduPax
Promouvoir l’éducation à la paix et la culture de la mémoire	 _ Animation du mémorial du Genocost _ Formation de l’équipe projet",,,,,,,,,,,,0,0,0,15 950,15 950,15 950,15 950,0,0,0,0,0,63 800,63 800,64 438,65 076,65 714,66 352,,,,,RE,4,1,02
RE.4.1.03,"REPARATION _ Réparations collectives - EduPax
Promouvoir l’éducation à la paix et la culture de la mémoire	 _ Animation du mémorial du Genocost _ Session d’échange d’expérience",,,,,,,,,,,,0,0,0,0,0,0,0,0,27 000,0,0,0,27 000,27 000,27 270,27 540,27 810,28 080,,,,,RE,4,1,03
RE.4.1.04,"REPARATION _ Réparations collectives - EduPax
Promouvoir l’éducation à la paix et la culture de la mémoire	 _ Animation du mémorial du Genocost _ Voyage d’étude de l’équipe projet",,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,RE,4,1,04
RE.4.1.05,"REPARATION _ Réparations collectives - EduPax
Promouvoir l’éducation à la paix et la culture de la mémoire	 _ Animation du mémorial du Genocost _ Mise en œuvre des activités du projet",,,,,,,,,,,,0,0,1 000 000,0,0,0,0,0,0,0,0,0,1 000 000,1 000 000,1 010 000,1 020 000,1 030 000,1 040 000,,,,,RE,4,1,05
RE.4.2.01,"REPARATION _ Réparations collectives - EduPax
Promouvoir l’éducation à la paix et la culture de la mémoire	 _ Appui aux commémorations dans les provinces _ Cartographie des massacres et dates de commémorations",,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,RE,4,2,01
RE.4.2.02,"REPARATION _ Réparations collectives - EduPax
Promouvoir l’éducation à la paix et la culture de la mémoire	 _ Appui aux commémorations dans les provinces _ Réunions de travail avec les associations",,,,,,,,,,,,0,2 260,2 260,2 260,2 260,2 260,2 260,2 260,2 260,2 260,2 260,0,22 600,22 600,22 826,23 052,23 278,23 504,,,,,RE,4,2,02
RE.4.2.03,"REPARATION _ Réparations collectives - EduPax
Promouvoir l’éducation à la paix et la culture de la mémoire	 _ Appui aux commémorations dans les provinces _ Appui financier et technique aux commémorations dans les régions",,,,,,,,,,,,0,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,0,100 000,100 000,101 000,102 000,103 000,104 000,,,,,RE,4,2,03
RE.4.3.01,"REPARATION _ Réparations collectives - EduPax
Promouvoir l’éducation à la paix et la culture de la mémoire	 _ Mise en place des projets Edupax _ Activités préliminaires / Mission exploratoire",,,,,,,,,,,,0,123 060,187 560,0,0,0,0,0,0,0,0,0,310 620,310 620,313 726,316 832,319 939,323 045,,,,,RE,4,3,01
RE.4.3.02,"REPARATION _ Réparations collectives - EduPax
Promouvoir l’éducation à la paix et la culture de la mémoire	 _ Mise en place des projets Edupax _ Activités préliminaires / Session de travail avec les partenaires",,,,,,,,,,,,0,0,0,38 790,25 860,0,0,0,0,0,0,0,64 650,64 650,65 297,65 943,66 590,67 236,,,,,RE,4,3,02
RE.4.3.03,"REPARATION _ Réparations collectives - EduPax
Promouvoir l’éducation à la paix et la culture de la mémoire	 _ Mise en place des projets Edupax _ Activités préliminaires / Signature des protocoles d’accord",,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,RE,4,3,03
RE.4.3.04,"REPARATION _ Réparations collectives - EduPax
Promouvoir l’éducation à la paix et la culture de la mémoire	 _ Mise en place des projets Edupax _ Activités préliminaires / Signature des contrats de financement",,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,RE,4,3,04
RE.4.3.05,"REPARATION _ Réparations collectives - EduPax
Promouvoir l’éducation à la paix et la culture de la mémoire	 _ Mise en place des projets Edupax _ Activités préliminaires / Cérémonie de lancement de projet",,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,RE,4,3,05
RE.4.3.06,"REPARATION _ Réparations collectives - EduPax
Promouvoir l’éducation à la paix et la culture de la mémoire	 _ Mise en place des projets Edupax _ Mise en œuvre du projet",,,,,,,,,,,,0,0,625 000,0,0,0,0,625 000,0,0,0,0,1 250 000,1 250 000,1 262 500,1 275 000,1 287 500,1 300 000,,,,,RE,4,3,06
RE.4.3.07,"REPARATION _ Réparations collectives - EduPax
Promouvoir l’éducation à la paix et la culture de la mémoire	 _ Mise en place des projets Edupax _ Missions de suivi du programme",,,,,,,,,,,,0,0,350 000,0,0,0,0,350 000,0,0,0,0,700 000,700 000,707 000,714 000,721 000,728 000,,,,,RE,4,3,07
RE.5.1.01,REPARATION _ Mesures provisoires urgentes Répondre aux besoins urgents de victimes dans les camps des déplacées et des victimes certifiées/identifiées _ Mise en œuvre des mesures provisoires urgentes _ Activités préliminaires / Mission exploratoire,,,,,,,,,,,,0,32 790,0,0,0,0,0,0,0,0,0,0,32 790,32 790,33 118,33 446,33 774,34 102,,,,,RE,5,1,01
RE.5.1.02,REPARATION _ Mesures provisoires urgentes Répondre aux besoins urgents de victimes dans les camps des déplacées et des victimes certifiées/identifiées _ Mise en œuvre des mesures provisoires urgentes _ Activités préliminaires / Session de travail avec les partenaires,,,,,,,,,,,,0,0,30 680,0,0,0,0,0,0,0,0,0,30 680,30 680,30 987,31 294,31 600,31 907,,,,,RE,5,1,02
RE.5.1.03,REPARATION _ Mesures provisoires urgentes Répondre aux besoins urgents de victimes dans les camps des déplacées et des victimes certifiées/identifiées _ Mise en œuvre des mesures provisoires urgentes _ Activités préliminaires / Signature des protocoles d’accord,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,RE,5,1,03
RE.5.1.04,REPARATION _ Mesures provisoires urgentes Répondre aux besoins urgents de victimes dans les camps des déplacées et des victimes certifiées/identifiées _ Mise en œuvre des mesures provisoires urgentes _ Activités préliminaires / Signature des contrats de financement,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,RE,5,1,04
RE.5.1.05,REPARATION _ Mesures provisoires urgentes Répondre aux besoins urgents de victimes dans les camps des déplacées et des victimes certifiées/identifiées _ Mise en œuvre des mesures provisoires urgentes _ Activités préliminaires / Cérémonie de lancement de projet,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,RE,5,1,05
RE.5.1.06,REPARATION _ Mesures provisoires urgentes Répondre aux besoins urgents de victimes dans les camps des déplacées et des victimes certifiées/identifiées _ Mise en œuvre des mesures provisoires urgentes _ Prise en charge médicale,,,,,,,,,,,,0,1 350 440,60 000,0,370 440,60 000,980 000,370 440,0,30 000,860 440,0,4 081 760,4 081 760,4 122 578,4 163 395,4 204 213,4 245 030,,,,,RE,5,1,06
RE.5.1.07,REPARATION _ Mesures provisoires urgentes Répondre aux besoins urgents de victimes dans les camps des déplacées et des victimes certifiées/identifiées _ Mise en œuvre des mesures provisoires urgentes _ Prise en charge psychologique,,,,,,,,,,,,0,2 423 950,144 000,0,2 223 950,0,344 000,2 223 950,0,0,2 395 950,0,9 755 800,9 755 800,9 853 358,9 950 916,10 048 474,10 146 032,,,,,RE,5,1,07
RE.5.1.08,REPARATION _ Mesures provisoires urgentes Répondre aux besoins urgents de victimes dans les camps des déplacées et des victimes certifiées/identifiées _ Mise en œuvre des mesures provisoires urgentes _ Prise en charge économique,,,,,,,,,,,,0,1 273 744,90 000,0,633 744,0,730 000,633 744,0,0,998 744,0,4 359 976,4 359 976,4 403 576,4 447 176,4 490 775,4 534 375,,,,,RE,5,1,08
RE.5.1.09,REPARATION _ Mesures provisoires urgentes Répondre aux besoins urgents de victimes dans les camps des déplacées et des victimes certifiées/identifiées _ Mise en œuvre des mesures provisoires urgentes _ Prise en charge des enfants,,,,,,,,,,,,0,0,908 000,0,0,0,908 000,0,0,0,454 000,0,2 270 000,2 270 000,2 292 700,2 315 400,2 338 100,2 360 800,,,,,RE,5,1,09
RE.5.1.10,REPARATION _ Mesures provisoires urgentes Répondre aux besoins urgents de victimes dans les camps des déplacées et des victimes certifiées/identifiées _ Mise en œuvre des mesures provisoires urgentes _ Missions de suivi,,,,,,,,,,,,0,0,2 500 000,0,0,2 500 000,0,0,0,0,0,0,5 000 000,5 000 000,5 050 000,5 100 000,5 150 000,5 200 000,,,,,RE,5,1,10
RE.5.2.01,REPARATION _ Mesures provisoires urgentes Répondre aux besoins urgents de victimes dans les camps des déplacées et des victimes certifiées/identifiées _ Action urgente du fonds _ Suivi des situations,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,RE,5,2,01
RE.5.2.02,REPARATION _ Mesures provisoires urgentes Répondre aux besoins urgents de victimes dans les camps des déplacées et des victimes certifiées/identifiées _ Action urgente du fonds _ Enterrement des victimes des attaques,,,,,,,,,,,,0,0,0,0,0,100 000,0,200 000,0,100 000,0,100 000,500 000,500 000,505 000,510 000,515 000,520 000,,,,,RE,5,2,02
RE.5.2.03,REPARATION _ Mesures provisoires urgentes Répondre aux besoins urgents de victimes dans les camps des déplacées et des victimes certifiées/identifiées _ Action urgente du fonds _ Appui divers  du Fonds,,,,,,,,,,,,0,0,0,0,0,0,100 000,0,0,0,0,0,100 000,100 000,101 000,102 000,103 000,104 000,,,,,RE,5,2,03
RE.6.1.01,REPARATION _ Réparations urgentes _ Prise en charge médicale urgente des victimes dont le pronostic vital est engagé _ Scans des structures médicales,,,,,,,,,,,,0,37 820,16 860,0,0,0,0,0,0,0,0,0,54 680,54 680,55 227,55 774,56 320,56 867,,,,,RE,6,1,01
RE.6.1.02,REPARATION _ Réparations urgentes _ Prise en charge médicale urgente des victimes dont le pronostic vital est engagé _ Acquisition de matériel des cliniques mobiles à déployer,,,,,,,,,,,,0,0,0,0,0,1 000 000,0,0,0,0,0,0,1 000 000,1 000 000,1 010 000,1 020 000,1 030 000,1 040 000,,,,,RE,6,1,02
RE.6.1.03,REPARATION _ Réparations urgentes _ Prise en charge médicale urgente des victimes dont le pronostic vital est engagé _ Missions de due diligence dans les 10 provinces mentionnées,,,,,,,,,,,,0,32 620,31 420,7 420,7 420,31 820,0,0,0,0,0,0,110 700,110 700,111 807,112 914,114 021,115 128,,,,,RE,6,1,03
RE.6.1.04,REPARATION _ Réparations urgentes _ Prise en charge médicale urgente des victimes dont le pronostic vital est engagé _ Missions de discussion et de signature des protocoles d’accord et cahiers de charge avec les structures partenaires,,,,,,,,,,,,0,67 340,0,0,0,0,0,0,0,0,0,0,67 340,67 340,68 013,68 687,69 360,70 034,,,,,RE,6,1,04
RE.6.1.05,REPARATION _ Direction _ Formations _ Formation externe en processus de paix et de reconstruction post-conflit,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,RE,6,1,05
