Cost Center,Description CC,Province & Ville,Coordinations provinciales,Local / Etranger ?,Catégorie / Grade,Nature Depenses,Account Ohada,Departement ,Texte / Libelle,,Unite de Mesure des donnees mensuelles,Cout Unitaire en USD Hors Taxe,31-janv.,28-févr.,31-mars,30-avr.,31-mai,30-juin,31-juil.,31-août,30-sept.,31-oct.,30-nov.,31-déc.,Total en Unite de Mesure des donnees mensuelles,Total Budget en USD,2027,2028,2029,2030,Check Categorie,Check Unite de mesure,Check cout unitaire,,CODE DEPARTEMENT,CODE ACTIVITE,CODE SOUS ACTIVITE,CODE TACHE
,,,,Ligne de depense,Direction,,,,Centre des couts ,Categories,Unite de Mesure des donnees mensuelles,Cout Unitaire en USD Hors Taxe,31/1/2025,28-Feb-26,31-Mar-26,30-Apr-26,31-May-26,30-Jun-26,31-Jul-26,31-Aug-26,30-Sep-26,31-Oct-26,30-Nov-26,31-Dec-26,Total en Unite de Mesure des donnees mensuelles,Total Budget en USD,2027,2028,2029,2030,,,,,,,,
AU.1.3.01,AUDIT INTERNE  _ Contrôle interne et Gestion des risques _ Prevention des risques _ Sensibilisation du personnel sur le contrôle interne et la gestion des risques,,,,,,,,,,,,0,7 761,5 121,5 971,0,0,0,0,0,0,0,0,18 853,18 853,19 042,19 230,19 419,19 607,,,,,AU,1,3,01
AU.1.3.02,AUDIT INTERNE  _ Contrôle interne et Gestion des risques _ Prevention des risques _ Sensibilisation du personnel sur la prevention de la fraude et de la corruption,,,,,,,,,,,,0,0,0,0,5 961,5 461,0,0,0,0,0,0,11 422,11 422,11 536,11 650,11 765,11 879,,,,,AU,1,3,02
AU.1.3.03,"AUDIT INTERNE  _ Contrôle interne et Gestion des risques _ Prevention des risques _ Compagne de communication interne : Affichache, Dépliant, support vidéo",,,,,,,,,,,,0,0,8 000,0,0,0,0,0,0,0,0,0,8 000,8 000,8 080,8 160,8 240,8 320,,,,,AU,1,3,03
AU.1.3.04,AUDIT INTERNE  _ Contrôle interne et Gestion des risques _ Prevention des risques _ Mise en place d'un programme de e-learning pour l'ensemble du personnel du FONAREV,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,AU,1,3,04
AU.1.3.05,AUDIT INTERNE  _ Contrôle interne et Gestion des risques _ Prevention des risques _ Revue permanente du contrôle interne (Kits de contrôle),,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,AU,1,3,05
AU.1.4.01,AUDIT INTERNE  _ Contrôle interne et Gestion des risques _ Renforcement des capacités _ Formation des équipes de la direction d'audit,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,AU,1,4,01
AU.2.1.01,AUDIT INTERNE  _ Audit Interne _ Exécution du plan annuel d'audit interne _ Missions d'audit interne réservées à l'équipe locale,,,,,,,,,,,,0,26 172,15 172,0,0,20 161,16 021,18 260,18 404,12 232,16 571,0,142 993,142 993,144 423,145 853,147 283,148 713,,,,,AU,2,1,01
AU.2.1.02,AUDIT INTERNE  _ Audit Interne _ Exécution du plan annuel d'audit interne _ Tenue des réunions du comité d'audit,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,AU,2,1,02
AU.2.1.03,AUDIT INTERNE  _ Audit Interne _ Exécution du plan annuel d'audit interne _ Consultance pour accompagnement dans l'exécution des missions d'audit,,,,,,,,,,,,35 714,0,0,35 714,0,0,0,0,0,0,0,0,71 429,71 429,72 143,72 857,73 571,74 286,,,,,AU,2,1,03
AU.2.2.01,AUDIT INTERNE  _ Audit Interne _ Suivi des recommandations _ Assurer le suivi des recommandations des audits internes et externes,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,AU,2,2,01
AU.2.3.01,AUDIT INTERNE  _ Audit Interne _ Motivation _ Primes d'audit,,,,,,,,,,,,0,0,0,71 280,0,0,0,0,0,0,0,0,71 280,71 280,71 993,72 706,73 418,74 131,,,,,AU,2,3,01
AU.2.4.01,AUDIT INTERNE  _ Audit Interne _ Externalisation des services d'audit _ Expert externe / Consultant : Test intrusion,,,,,,,,,,,,0,0,0,0,35 000,0,0,0,0,0,0,0,35 000,35 000,35 350,35 700,36 050,36 400,,,,,AU,2,4,01
AU.2.4.02,AUDIT INTERNE  _ Audit Interne _ Externalisation des services d'audit _ Expert externe / Consultant /audit de la  luc,,,,,,,,,,,,0,0,40 000,0,0,40 000,0,0,40 000,0,0,40 000,160 000,160 000,161 600,163 200,164 800,166 400,,,,,AU,2,4,02
AU.2.4.03,AUDIT INTERNE  _ Audit Interne _ Externalisation des services d'audit _ Expert externe / Consultant / audit du Numérique,,,,,,,,,,,,0,0,0,60 000,0,0,0,0,0,0,0,0,60 000,60 000,60 600,61 200,61 800,62 400,,,,,AU,2,4,03
AU.2.5.01,AUDIT INTERNE  _ Audit Interne _ Digitalisation des processus d'audit interne _ Outils Nexis Due Diligence,,,,,,,,,,,,0,0,50 715,0,0,0,0,0,0,0,0,0,50 715,50 715,51 222,51 729,52 236,52 744,,,,,AU,2,5,01
AU.2.5.02,AUDIT INTERNE  _ Audit Interne _ Digitalisation des processus d'audit interne _ Outils Nexis GRC (Gouvernance risque et contrôle),,,,,,,,,,,,0,0,48 825,0,0,0,0,0,0,0,0,0,48 825,48 825,49 313,49 802,50 290,50 778,,,,,AU,2,5,02
AU.2.5.03,AUDIT INTERNE  _ Audit Interne _ Digitalisation des processus d'audit interne _ Outils Ecosystème,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,AU,2,5,03
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
