PI.0.0.01,PLAIDOYER INTERNATIONAL _ Renumeration _ Renumeration _ Renumeration,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,PI,0,0,01
PI.1.1.01,PLAIDOYER INTERNATIONAL _ Communication institutionnelle _ Relations publiques et partenariats _ Colloque international sur le Génocide en RDC & Publication et présentation des actes des Colloques,,,,,,,,,,,,0,60 168,60 168,60 168,60 168,60 168,60 168,60 168,60 168,60 168,60 168,0,601 678,601 678,607 694,613 711,619 728,625 745,,,,,PI,1,1,01
PI.1.1.02,PLAIDOYER INTERNATIONAL _ Communication institutionnelle _ Relations publiques et partenariats _ Préparation du GENOCOST et des événements parallèles du plaidoyer pour la reconnaissance internationale du Génocide en RDC,,,,,,,,,,,,0,21 388,21 388,21 388,21 388,21 388,21 388,21 388,21 388,21 388,21 388,0,213 880,213 880,216 019,218 158,220 297,222 436,,,,,PI,1,1,02
PI.1.1.03,PLAIDOYER INTERNATIONAL _ Communication institutionnelle _ Relations publiques et partenariats _ Plaidoyer international GENÈVE : Exposition d'Arts et Reunion de haut-niveau,,,,,,,,,,,,0,35 382,35 382,35 382,35 382,35 382,35 382,35 382,35 382,35 382,35 382,0,353 819,353 819,357 357,360 896,364 434,367 972,,,,,PI,1,1,03
PI.1.1.04,"PLAIDOYER INTERNATIONAL _ Communication institutionnelle _ Relations publiques et partenariats _ Plaidoyer international PARIS: Panel de Haut niveau, Conference Universitaire",,,,,,,,,,,,0,45 300,45 300,45 300,45 300,45 300,45 300,45 300,45 300,45 300,45 300,0,452 998,452 998,457 528,462 058,466 588,471 118,,,,,PI,1,1,04
PI.1.1.05,"PLAIDOYER INTERNATIONAL _ Communication institutionnelle _ Relations publiques et partenariats _ Plaidoyer international Bruxelles: Reunion de Haut niveau, Conference Universitaire",,,,,,,,,,,,0,31 071,31 071,31 071,31 071,31 071,31 071,31 071,31 071,31 071,31 071,0,310 707,310 707,313 814,316 921,320 028,323 135,,,,,PI,1,1,05
PI.1.1.06,"PLAIDOYER INTERNATIONAL _ Communication institutionnelle _ Relations publiques et partenariats _ Plaidoyer international Addis Abeba: Reunion de Haut niveau, Conference Universitaire",,,,,,,,,,,,0,27 771,27 771,27 771,27 771,27 771,27 771,27 771,27 771,27 771,27 771,0,277 708,277 708,280 485,283 262,286 040,288 817,,,,,PI,1,1,06
PI.1.1.07,"PLAIDOYER INTERNATIONAL _ Communication institutionnelle _ Relations publiques et partenariats _ Plaidoyer international NEW-YORK: Panel de Haut niveau, Conference Universitaire",,,,,,,,,,,,0,55 199,55 199,55 199,55 199,55 199,55 199,55 199,55 199,55 199,55 199,0,551 995,551 995,557 514,563 034,568 554,574 074,,,,,PI,1,1,07
PI.1.1.08,"PLAIDOYER INTERNATIONAL _ Communication institutionnelle _ Relations publiques et partenariats _ Plaidoyer international LONDRES: Panel de Haut niveau, Conference Universitaire",,,,,,,,,,,,0,45 300,45 300,45 300,45 300,45 300,45 300,45 300,45 300,45 300,45 300,0,452 998,452 998,457 528,462 058,466 588,471 118,,,,,PI,1,1,08
PI.1.1.09,PLAIDOYER INTERNATIONAL _ Communication institutionnelle _ Relations publiques et partenariats _ Mission Preparatoire,,,,,,,,,,,,0,8 897,8 897,8 897,8 897,8 897,8 897,8 897,8 897,8 897,8 897,0,88 974,88 974,89 864,90 754,91 643,92 533,,,,,PI,1,1,09
PI.1.1.10,PLAIDOYER INTERNATIONAL _ Communication institutionnelle _ Relations publiques et partenariats _ Accompagnement Consultant et Lobbying,,,,,,,,,,,,0,89 524,89 524,89 524,89 524,89 524,89 524,89 524,89 524,89 524,89 524,0,895 242,895 242,904 194,913 147,922 099,931 052,,,,,PI,1,1,10
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
