Cost Center,Description CC,Province & Ville,Coordinations provinciales,Local / Etranger ?,Catégorie / Grade,Nature Depenses,Account Ohada,Departement ,Texte / Libelle,,Unite de Mesure des donnees mensuelles,Cout Unitaire en USD Hors Taxe,31-janv.,28-févr.,31-mars,30-avr.,31-mai,30-juin,31-juil.,31-août,30-sept.,31-oct.,30-nov.,31-déc.,Total en Unite de Mesure des donnees mensuelles,Total Budget en USD,2027,2028,2029,2030,Check Categorie,Check Unite de mesure,Check cout unitaire,,CODE DEPARTEMENT,CODE ACTIVITE,CODE SOUS ACTIVITE,CODE TACHE
,,,,Ligne de depense,Direction,,,,Centre des couts ,Categories,Unite de Mesure des donnees mensuelles,Cout Unitaire en USD Hors Taxe,31/1/2025,28-Feb-26,31-Mar-26,30-Apr-26,31-May-26,30-Jun-26,31-Jul-26,31-Aug-26,30-Sep-26,31-Oct-26,30-Nov-26,31-Dec-26,Total en Unite de Mesure des donnees mensuelles,Total Budget en USD,2027,2028,2029,2030,,,,,,,,
PM.1.3.01,PASSATION DE MARCHE _ Passation de marché _ Missions achats et suivi des marchés _ Prospection achats et consultation des fournisseurs,,,,,,,,,,,,0,10 560,10 560,10 560,10 560,10 560,0,0,0,0,0,0,52 800,52 800,53 328,53 856,54 384,54 912,,,,,PM,1,3,01
PM.1.3.02,PASSATION DE MARCHE _ Passation de marché _ Missions achats et suivi des marchés _ Suivi d' exécution des marchés,,,,,,,,,,,,0,0,10 560,10 560,10 560,10 560,10 560,10 560,10 560,10 560,10 560,10 560,105 600,105 600,106 656,107 712,108 768,109 824,,,,,PM,1,3,02
PM.1.4.01,PASSATION DE MARCHE _ Passation de marché _ Commission de marché _ Examen des rapports d'analyse,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,PM,1,4,01
PM.1.5.01,PASSATION DE MARCHE _ Passation de marché _ Mission des consultants _ Appui technique cellule  (consultant),,,,,,,,,,,,50 000,0,0,0,0,0,0,0,0,0,0,0,50 000,50 000,50 500,51 000,51 500,52 000,,,,,PM,1,5,01
PM.1.6.01,"PASSATION DE MARCHE _ Passation de marché _ Consultation _ Service de reprographie, duplication et réiliure des dossiers d'appels d'offres et
demande de proposition",,,,,,,,,,,,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,30 000,30 000,30 300,30 600,30 900,31 200,,,,,PM,1,6,01
PM.2.7.01,PASSATION DE MARCHE _ Renforcement de capacité (réglementation nationale) _ Formation local (formation approndie en marchés publics) _ Approfondie_Participer à la formation,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,PM,2,7,01
PM.2.8.01,PASSATION DE MARCHE _ Renforcement de capacité (réglementation nationale) _ Formation local (formation sur de cas spécifiques) _ Formation Cas Spécifique_Participer à la formation,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,PM,2,8,01
PM.3.9.01,"PASSATION DE MARCHE _ Renforcement de capacité (internationale BAD, BM et autre ) _ Formation extérieur _ Exterieur_participer à la formation",,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,PM,3,9,01
PM.4.10.01,PASSATION DE MARCHE _ Renforcement de capacité _ Formation en ligne _ ONLINE_participer à la formation,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,PM,4,10,01
PM.5.11.01,"PASSATION DE MARCHE _ Outils de gestionet suivi des marchés _ Acquisition des outils de gestion et suivi des marchés _ Recrutement fournisseurs des logiciels de gestion et suivi des marchés, logiciels  des achats et approvisionnement",,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,PM,5,11,01
